数据大类,数据子类,数据项,接口名称,描述,限量,权限
期货数据,持仓数据,每日成交持仓排名,fut_holding,获取每日成交持仓排名数据,单次最大2000，总量不限制,用户需要至少2000积分才可以调取
期货数据,指数行情,南华期货指数行情,index_daily,获取南华指数每日行情，指数行情也可以通过,,用户需要累积2000积分才可以调取
期货数据,关联合约,合约交叉引用,fut_mapping,获取期货主力（或连续）合约与月合约映射数据,单次最大2000条，总量不限制,用户需要至少2000积分才可以调取，未来可能调整积分，请尽可能多积累积分
期货数据,期货主要品种交易周报,期货主要品种交易周报,fut_weekly_detail,获取期货交易所主要品种每周交易统计信息，数据从2010年3月开始,单次最大获取4000行数据,600积分可调取，，积分越高频次越高，5000积分以上正常调取不受限制
期货数据,期货合约涨跌停价格,期货合约涨跌停价格,ft_limit,获取所有期货合约每天的涨跌停价格及最低保证金率，数据开始于2005年,单次最大获取4000行数据，可以通过日期、合约代码等参数循环获取所有历史,用户积5000积分可调取，积分获取方法
现货数据,上海黄金基础信息,上海黄金基础信息,sge_basic,获取上海黄金交易所现货合约基础信息,单次最大100条，当前现货合约数不足20个，可以一次提取全部，不需要循环提取,用户积5000积分可以调取
现货数据,上海黄金现货日行情,上海黄金现货日行情,sge_daily,获取上海黄金交易所现货合约日线行情,单次最大2000，可循环或者分页提取,用户积2000积分可调取
期权数据,合约数据,期权合约列表,opt_basic,获取期权合约信息,,用户需要至少5000积分可以调取
期权数据,历史分钟,期权历史分钟,opt_mins,获取全市场期权合约分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,单次最大8000行数据，可以通过合约代码和时间循环获取,120积分可以调取2次接口查看数据，正式权限请参阅
债券专题,可转债数据,可转债基础信息,cb_basic,获取可转债基本信息,单次最大2000，总量不限制,用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大
债券专题,可转债数据,可转债发行数据,cb_issue,获取可转债发行数据,单次最大2000，可多次提取，总量不限制,用户需要至少2000积分才可以调取，5000积分以上频次相对较高，积分越多权限越大
债券专题,可转债赎回信息,可转债赎回信息,cb_call,获取可转债到期赎回、强制赎回等信息。数据来源于公开披露渠道，供个人和机构研究使用，请不要用于数据商业目的,单次最大2000条数据，可以根据日期循环提取，本接口需5000积分,
债券专题,可转债票面利率,可转债票面利率,cb_rate,获取可转债票面利率,单次最大2000，总量不限制,用户需要至少5000积分才可以调取
债券专题,可转债数据,可转债日线数据,cb_daily,获取可转债行情,单次最大2000条，可多次提取，总量不限制,用户需要至少2000积分才可以调取，5000积分以上频次相对较高，积分越多权限越大
债券专题,可转债技术面因子(专业版),可转债技术面因子(专业版),cb_factor_pro,获取可转债每日技术面因子数据，用于跟踪可转债当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，_qfq表示前复权 _hfq表示后复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,单次调取最多返回10000条数据，可以通过日期参数循环,5000积分每分钟可以请求30次，8000积分以上每分钟500次
债券专题,可转债转股价变动,可转债转股价变动,cb_price_chg,获取可转债转股价变动,单次最大2000，总量不限制,本接口需单独开权限（跟积分没关系）
债券专题,可转债数据,可转债待发,cb_share,获取可转债转股结果,单次最大2000，总量不限制,用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大
债券专题,可转债债券评级,可转债债券评级,cb_rating,获取可转债评级历史记录,单次最大3000条，可根据代码或日期循环提取,需要2000积分可以调取
债券专题,债券回购日行情,债券回购日行情,repo_daily,债券回购日行情,单次最大2000条，可多次提取，总量不限制,用户需要累积2000积分才可以调取
债券专题,柜台流通式债券报价,柜台流通式债券报价,bc_otcqt,柜台流通式债券报价,单次最大2000条，可多次提取，总量不限制,用户需要至少500积分可以试用调取，2000积分以上频次相对较高，积分越多权限越大
债券专题,柜台流通式债券最优报价,柜台流通式债券最优报价,bc_bestotcqt,柜台流通式债券最优报价,单次最大2000，可多次提取，总量不限制,用户需要至少500积分可以试用调取，2000积分以上频次相对较高，积分越多权限越大
债券专题,大宗交易,大宗交易,bond_blk,获取沪深交易所债券大宗交易数据,单次最大1000条,用户满5000积分有数据权限，，可根据日期循环提取，总量不限制
债券专题,大宗交易明细,大宗交易明细,bond_blk_detail,获取沪深交易所债券大宗交易数据,单次最大1000条,用户满5000积分有数据权限，，可根据日期循环提取，总量不限制
债券专题,国债收益率曲线,国债收益率曲线,yc_cb,获取中债收益率曲线，目前可获取中债国债收益率曲线即期和到期收益率曲线数据,单次最大2000，总量不限制，可循环提取,属于单独的权限接口，请在群里联系群主或管理员
债券专题,全球财经事件,全球财经事件,eco_cal,获取全球财经日历、包括经济事件数据更新,单次最大获取100行数据,2000积分可调取
外汇数据,外汇基础,外汇基础信息,fx_obasic,获取海外外汇基础信息，目前只有FXCM交易商的数据,,用户需要至少2000积分才可以调取
外汇数据,外汇行情,外汇日线行情,fx_daily,获取外汇日线行情,单次最大提取1000行记录，可多次提取，总量不限制,用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大
港股数据,港股资金,港股通,hk_hold,获取沪深港股通持股明细，数据来源港交所,单次最多提取3800条记录，可循环调取，总量不限制,用户积120积分可调取试用，2000积分可正常使用，单位分钟有流控，积分越高流量越大，请自行提高积分
港股数据,港股基础,港股列表,hk_basic,获取港股列表信息,,用户需要至少2000积分才可以调取
港股数据,港股交易日历,港股交易日历,hk_tradecal,获取交易日历,单次最大2000,用户积累2000积分才可调取
港股数据,港股行情,港股日线,hk_daily,获取港股每日增量和历史行情，每日18点左右更新当日数据,单次最大提取5000行记录，可多次提取，总量不限制,本接口单独开权限
港股数据,港股复权行情,港股复权行情,hk_daily_adj,获取港股复权行情，提供股票股本、市值和成交及换手多个数据指标,单次最大可以提取6000条数据，可循环获取全部，支持分页提取,
港股数据,港股复权因子,港股复权因子,hk_adjfactor,获取港股每日复权因子数据，每天滚动刷新,单次最大6000行数据，可以根据日期循环,本接口是在开通港股日线权限后自动获取权限，权限
港股数据,港股分钟,港股分钟,hk_mins,港股分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,单次最大8000行数据，可以通过股票代码和日期循环获取,120积分可以调取2次接口查看数据，正式权限请参阅
港股数据,实时数据,港股实时日线,rt_hk_k,获取港股实时日k线行情，支持按股票代码及股票代码通配符一次性提取全部股票实时日k线行情,单次最大可提取5000条数据,本接口是单独开权限的数据，单独申请权限
港股数据,港股利润表,港股利润表,hk_income,获取港股上市公司财务利润表数据,,需单独开权限或有15000积分，具体权限信息
港股数据,港股资产负债表,港股资产负债表,hk_balancesheet,获取港股上市公司资产负债表,,需单独开权限或有15000积分，具体权限信息
港股数据,港股现金流量表,港股现金流量表,hk_cashflow,获取港股上市公司现金流量表数据,,需单独开权限或有15000积分，具体权限信息
港股数据,港股财务指标数据,港股财务指标数据,hk_fina_indicator,获取港股上市公司财务指标数据，为避免服务器压力，现阶段每次请求最多返回200条记录，可通过设置日期多次请求获取更多数据,,需单独开权限或有15000积分，具体权限信息
美股数据,美股基础,美股列表,us_basic,获取美股列表信息,单次最大6000，可分页提取,120积分可以试用，5000积分有正式权限
美股数据,美股交易日历,美股交易日历,us_tradecal,获取美股交易日历信息,单次最大6000，可根据日期阶段获取,
美股数据,美股行情,美股日线,us_daily,获取美股行情（未复权），包括全部股票全历史行情，以及重要的市场和估值指标,单次最大6000行数据，可根据日期参数循环提取，开通正式权限后也可支持分页提取全部历史,
美股数据,美股复权行情,美股复权行情,us_daily_adj,获取美股复权行情，支持美股全市场股票，提供股本、市值、复权因子和成交信息等多个数据指标,单次最大可以提取8000条数据，可循环获取全部，支持分页提取,
美股数据,美股复权因子,美股复权因子,us_adjfactor,获取美股每日复权因子数据，在每天美股收盘后滚动刷新,单次最大15000行数据，可以根据日期循环,本接口是在开通美股日线权限后自动获取权限，权限
美股数据,美股利润表,美股利润表,us_income,获取美股上市公司财务利润表数据（目前只覆盖主要美股和中概股）,,需单独开权限或有15000积分，具体权限信息
美股数据,美股资产负债表,美股资产负债表,us_balancesheet,获取美股上市公司资产负债表（目前只覆盖主要美股和中概股）,,需单独开权限或有15000积分，具体权限信息
美股数据,美股现金流量表,美股现金流量表,us_cashflow,获取美股上市公司现金流量表数据（目前只覆盖主要美股和中概股）,,需单独开权限或有15000积分，具体权限信息
美股数据,美股财务指标数据,美股财务指标数据,us_fina_indicator,获取美股上市公司财务指标数据，目前只覆盖主要美股和中概股。为避免服务器压力，现阶段每次请求最多返回200条记录，可通过设置日期多次请求获取更多数据,,需单独开权限或有15000积分，具体权限信息
行业经济,市场统计,市场交易统计,daily_info,获取交易所股票交易统计，包括各板块明细,单次最大4000，可循环获取，总量不限制,用户积600积分可调取， 频次有限制，积分越高每分钟调取频次越高，5000积分以上频次相对较高，积分获取方法请参阅
行业经济,TMT行业,台湾电子产业月营收,tmt_twincome,获取台湾TMT电子产业领域各类产品月度营收数据,,
行业经济,TMT行业,台湾电子产业月营收明细,tmt_twincomedetail,获取台湾TMT行业上市公司各类产品月度营收情况,,
行业经济,电影数据,电影月度票房,bo_monthly,获取电影月度票房数据,,
行业经济,电影数据,电影周票房,bo_weekly,获取周度票房数据,,
行业经济,TMT行业,电影日度票房,bo_daily,获取电影日度票房,,
行业经济,TMT行业,影院日度票房,bo_cinema,获取每日各影院的票房数据,,
行业经济,TMT行业,全国电影剧本备案数据,film_record,获取全国电影剧本备案的公示数据,单次最大500，总量不限制,
行业经济,TMT行业,全国电视剧备案公示数据,teleplay_record,获取2009年以来全国拍摄制作电视剧备案公示数据,单次最大1000，总量不限制,
宏观经济,利率数据,银行间拆借,shibor,shibor利率,单次最大2000，总量不限制，可通过设置开始和结束日期分段获取,用户积累120积分可以调取
宏观经济,国内宏观,Shibor报价数据,shibor_quote,Shibor报价数据,单次最大4000行数据，总量不限制，可通过设置开始和结束日期分段获取,用户积累120积分可以调取
宏观经济,利率数据,LPR贷款基础利率,shibor_lpr,LPR贷款基础利率,单次最大4000(相当于单次可提取18年历史)，总量不限制，可通过设置开始和结束日期分段获取,用户积累120积分可以调取
宏观经济,国内宏观,Libor利率,libor,Libor拆借利率,单次最大4000行数据，总量不限制，可通过设置开始和结束日期分段获取,用户积累120积分可以调取
宏观经济,国内宏观,Hibor利率,hibor,Hibor利率,单次最大4000行数据，总量不限制，可通过设置开始和结束日期分段获取,用户积累120积分可以调取
宏观经济,国内宏观,温州民间借贷利率,wz_index,温州民间借贷利率，即温州指数,不限量，一次可取全部指标全部历史数据,用户需要积攒2000积分可调取
宏观经济,国内宏观,广州民间借贷利率,gz_index,广州民间借贷利率,不限量，一次可取全部指标全部历史数据,用户需要积攒2000积分可调取
宏观经济,国内宏观,国内生产总值（GDP）,cn_gdp,获取国民经济之GDP数据,单次最大10000，一次可以提取全部数据,用户积累600积分可以使用
宏观经济,国内宏观,居民消费价格指数（CPI）,cn_cpi,获取CPI居民消费价格数据，包括全国、城市和农村的数据,单次最大5000行，一次可以提取全部数据,用户积累600积分可以使用
宏观经济,国内宏观,工业生产者出厂价格指数（PPI）,cn_ppi,获取PPI工业生产者出厂价格指数数据,单次最大5000，一次可以提取全部数据,用户600积分可以使用
宏观经济,国内宏观,货币供应量（月）,cn_m,获取货币供应量之月度数据,单次最大5000，一次可以提取全部数据,用户积累600积分可以使用
宏观经济,国内宏观,社融增量（月度）,sf_month,获取月度社会融资数据,单次最大2000条数据，可循环提取,需2000积分
宏观经济,国内宏观,采购经理指数（PMI）,cn_pmi,采购经理人指数,单次最大2000，一次可以提取全部数据,用户积累2000积分可以使用
宏观经济,国际宏观,国债收益率曲线利率,us_tycr,获取美国每日国债收益率曲线利率,单次最大可获取2000条数据,用户积累120积分可以使用，积分越高频次越高
宏观经济,国际宏观,国债实际收益率曲线利率,us_trycr,国债实际收益率曲线利率,单次最大可获取2000行数据，可循环获取,用户积累120积分可以使用，积分越高频次越高
宏观经济,国际宏观,短期国债利率,us_tbr,获取美国短期国债利率数据,单次最大可获取2000行数据，可循环获取,用户积累120积分可以使用，积分越高频次越高
宏观经济,国际宏观,国债长期利率,us_tltr,国债长期利率,单次最大可获取2000行数据，可循环获取,用户积累120积分可以使用，积分越高频次越高
宏观经济,国际宏观,国债长期利率平均值,us_trltr,国债实际长期利率平均值,单次最大可获取2000行数据，可循环获取,用户积累120积分可以使用，积分越高频次越高
大模型语料,数据标注,概念股语料,concept_corpus,概念股数据用于训练,单次最大5000,需单独权限
大模型语料,数据标注,股吧评论,stock_corpus,股吧评论文本数据,单次最大5000,需单独权限
大模型语料,数据标注,公告摘要,ann_corpus,公告摘要数据,单次最大5000,需单独权限
大模型语料,数据标注,研报语料,report_corpus,券商研报数据,单次最大5000,需单独权限
资讯数据,国家政策库,国家政策库,npr,获取国家行政机关公开披露的各类法规、条例政策、批复、通知等文本数据,单次最大500条，可根据参数循环提取,本接口需单独开权限（跟积分没关系）
资讯数据,券商研究报告,券商研究报告,research_report,获取券商研究报告-个股、行业等，历史数据从20170101开始提供，增量每天两次更新,单次最大1000条，可根据日期或券商名称代码循环提取，每天总量不限制,本接口需单独开权限（跟积分没关系）
资讯数据,新闻快讯,新闻快讯,news,"获取主流新闻网站的快讯新闻数据,提供超过6年以上历史新闻",单次最大1500条新闻，可根据时间参数循环提取历史,本接口需单独开权限（跟积分没关系）
资讯数据,新闻通讯,新闻通讯,major_news,获取长篇通讯信息，覆盖主要新闻资讯网站，提供超过8年历史新闻,单次最大400行记录，可循环提取保存到本地,本接口需单独开权限（跟积分没关系）
资讯数据,新闻联播,新闻联播,cctv_news,获取新闻联播文字稿数据，数据开始于2017年,可根据日期参数循环提取，总量不限制,本接口需单独开权限（跟积分没关系）
资讯数据,上市公司公告,上市公司公告,anns_d,获取全量公告数据，提供pdf下载URL,单次最大2000条数，可以跟进日期循环获取全量,本接口为单独权限
资讯数据,互动易,上证e互动,irm_qa_sh,"获取上交所e互动董秘问答文本数据。上证e互动是由上海证券交易所建立、上海证券市场所有参与主体无偿使用的沟通平台,旨在引导和促进上市公司、投资者等各市场参与主体之间的信息沟通,构建集中、便捷的互动渠道。本接口数据记录了以上沟通问答的文本数据",单次请求最大返回3000行数据，可根据股票代码，日期等参数循环提取全部数据,用户后120积分可以试用，正式权限为10000积分，或申请单独开权限
资讯数据,互动易,深证互动易,irm_qa_sz,"互动易是由深交所官方推出,供投资者与上市公司直接沟通的平台,一站式公司资讯汇集,提供第一手的互动问答、投资者关系信息、公司声音等内容",单次请求最大返回3000行数据，可根据股票代码，日期等参数循环提取全部数据,用户后120积分可以试用，正式权限为10000积分，或申请单独开权限
财富管理,基金销售行业数据,各渠道公募基金销售保有规模占比,fund_sales_ratio,获取各渠道公募基金销售保有规模占比数据，年度更新,单次最大100行数据，数据从2015年开始公布，当前数据量很小,
财富管理,基金销售行业数据,销售机构公募基金销售保有规模,fund_sales_vol,获取销售机构公募基金销售保有规模数据，本数据从2021年Q1开始公布，季度更新,单次最大500行数据，目前总量只有100行，未来随着数据量增加会提高上限,
